team,tournament_year,goals_scored,fbref_goals_per90,fbref_xg_per90,fbref_assists_per90
Afghanistan,2007,1,0.1,0.085,0.04000000000000001
Afghanistan,2011,1,0.1,0.085,0.04000000000000001
Afghanistan,2015,6,0.6,0.51,0.24
Afghanistan,2016,2,0.2,0.17,0.08000000000000002
Afghanistan,2019,2,0.2,0.17,0.08000000000000002
Afghanistan,2021,3,0.3,0.255,0.12
Afghanistan,2023,3,0.3,0.255,0.12
Afghanistan,2024,2,0.2,0.17,0.08000000000000002
Albania,1963,1,0.1,0.085,0.04000000000000001
Albania,1965,2,0.2,0.17,0.08000000000000002
Albania,1970,1,0.1,0.085,0.04000000000000001
Albania,1971,4,0.4,0.34,0.16000000000000003
Albania,1973,3,0.3,0.255,0.12
Albania,1980,3,0.3,0.255,0.12
Albania,1981,1,0.1,0.085,0.04000000000000001
Albania,1983,4,0.4,0.34,0.16000000000000003
Albania,1984,5,0.5,0.425,0.2
Albania,1985,1,0.1,0.085,0.04000000000000001
Albania,1986,1,0.1,0.085,0.04000000000000001
Albania,1987,1,0.1,0.085,0.04000000000000001
Albania,1988,1,0.1,0.085,0.04000000000000001
Albania,1989,2,0.2,0.17,0.08000000000000002
Albania,1991,2,0.2,0.17,0.08000000000000002
Albania,1992,2,0.2,0.17,0.08000000000000002
Albania,1993,4,0.4,0.34,0.16000000000000003
Albania,1994,2,0.2,0.17,0.08000000000000002
Albania,1995,8,0.8,0.68,0.32000000000000006
Albania,1996,1,0.1,0.085,0.04000000000000001
Albania,1997,6,0.6,0.51,0.24
Albania,1998,2,0.2,0.17,0.08000000000000002
Albania,1999,6,0.6,0.51,0.24
Albania,2000,3,0.3,0.255,0.12
Albania,2001,2,0.2,0.17,0.08000000000000002
Albania,2002,2,0.2,0.17,0.08000000000000002
Albania,2003,9,0.9,0.765,0.36000000000000004
Albania,2004,3,0.3,0.255,0.12
Albania,2005,8,0.8,0.68,0.32000000000000006
Albania,2006,3,0.3,0.255,0.12
Albania,2007,9,0.9,0.765,0.36000000000000004
Albania,2008,3,0.3,0.255,0.12
Albania,2009,3,0.3,0.255,0.12
Albania,2010,3,0.3,0.255,0.12
Albania,2011,4,0.4,0.34,0.16000000000000003
Albania,2012,5,0.5,0.425,0.2
Albania,2013,4,0.4,0.34,0.16000000000000003
Albania,2014,2,0.2,0.17,0.08000000000000002
Albania,2015,5,0.5,0.425,0.2
Albania,2016,5,0.5,0.425,0.2
Albania,2017,6,0.6,0.51,0.24
Albania,2018,1,0.1,0.085,0.04000000000000001
Albania,2019,16,1.6,1.36,0.6400000000000001
Albania,2020,8,0.8,0.68,0.32000000000000006
Albania,2021,12,1.2,1.02,0.48
Albania,2022,4,0.4,0.34,0.16000000000000003
Albania,2023,12,1.2,1.02,0.48
Albania,2024,7,0.7,0.595,0.27999999999999997
Albania,2025,7,0.7,0.595,0.27999999999999997
Albania,2026,1,0.1,0.085,0.04000000000000001
Algeria,1968,6,0.6,0.51,0.24
Algeria,1972,2,0.2,0.17,0.08000000000000002
Algeria,1976,1,0.1,0.085,0.04000000000000001
