team,tournament_year,squad_market_value
Argentina,2016,807500000.0
Argentina,2017,807500000.0
Argentina,2018,807500000.0
Argentina,2019,807500000.0
Argentina,2020,807500000.0
Argentina,2021,807500000.0
Argentina,2022,807500000.0
Argentina,2023,807500000.0
Argentina,2024,807500000.0
Argentina,2025,807500000.0
Argentina,2026,807500000.0
Belgium,2016,547500000.0
Belgium,2017,547500000.0
Belgium,2018,547500000.0
Belgium,2019,547500000.0
Belgium,2020,547500000.0
Belgium,2021,547500000.0
Belgium,2022,547500000.0
Belgium,2023,547500000.0
Belgium,2024,547500000.0
Belgium,2025,547500000.0
Belgium,2026,547500000.0
Brazil,2016,928200000.0
Brazil,2017,928200000.0
Brazil,2018,928200000.0
Brazil,2019,928200000.0
Brazil,2020,928200000.0
Brazil,2021,928200000.0
Brazil,2022,928200000.0
Brazil,2023,928200000.0
Brazil,2024,928200000.0
Brazil,2025,928200000.0
Brazil,2026,928200000.0
Croatia,2016,387300000.0
Croatia,2017,387300000.0
Croatia,2018,387300000.0
Croatia,2019,387300000.0
Croatia,2020,387300000.0
Croatia,2021,387300000.0
Croatia,2022,387300000.0
Croatia,2023,387300000.0
Croatia,2024,387300000.0
Croatia,2025,387300000.0
Croatia,2026,387300000.0
Denmark,2016,365000000.0
Denmark,2017,365000000.0
Denmark,2018,365000000.0
Denmark,2019,365000000.0
Denmark,2020,365000000.0
Denmark,2021,365000000.0
Denmark,2022,365000000.0
Denmark,2023,365000000.0
Denmark,2024,365000000.0
Denmark,2025,365000000.0
Denmark,2026,365000000.0
England,2016,1360000000.0
England,2017,1360000000.0
England,2018,1360000000.0
England,2019,1360000000.0
England,2020,1360000000.0
England,2021,1360000000.0
England,2022,1360000000.0
England,2023,1360000000.0
England,2024,1360000000.0
England,2025,1360000000.0
England,2026,1360000000.0
France,2016,1520000000.0
France,2017,1520000000.0
France,2018,1520000000.0
France,2019,1520000000.0
France,2020,1520000000.0
France,2021,1520000000.0
France,2022,1520000000.0
France,2023,1520000000.0
France,2024,1520000000.0
France,2025,1520000000.0
France,2026,1520000000.0
Germany,2016,947000000.0
